"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"I BELIEVE I CAN FLY","R. Kelly","1997","339","2RzJwBCXsS1VnjDm2jKKAa","320666","63","0.55","0.444","-7.588","0.0438","120.179"
"DON'T LET GO","En Vogue","1997","393","06TuMCjDEYjTOJScCRzmjf","291880","62","0.618","0.688","-5.867","0.561","78.311"
"RETURN OF THE MACK","Mark Morrison","1997","480","3jDdpx9PMlfMBS5tOBHFm9","213093","71","0.715","0.833","-5.379","0.612","95.487"
"HOW DO I LIVE","LeAnn Rimes","1997","274","7BD50ATrF3Vab5FQy7vtK8","266973","69","0.577","0.462","-7.989","0.258","128.303"
"WANNABE","Spice Girls","1997","512","1Je1IMUlBXcx1Fz0WE7oPT","173026","81","0.768","0.864","-6.145","0.891","110.008"
"QUIT PLAYING GAMES","Backstreet Boys","1997","250","1nRwyxNsqCLeA17qR8Nfxx","233533","60","0.8","0.875","-4.952","0.882","100.033"
"MMMBOP","Hanson","1997","491","0lnxrQAd9ZxbhBBe7d8FO8","268653","64","0.693","0.937","-6.298","0.662","104.844"
"YOU MAKE ME WANNA...","Usher","1997","518","47TqCCnEliDp8NRDyIQoQq","219120","69","0.761","0.639","-7.577","0.922","164.088"
"BITCH","Meredith Brooks","1997","308","3i6qNxyVgIdUZTTi5m25EM","252760","68","0.617","0.886","-5.953","0.629","96.328"
"NOBODY","Keith Sweat","1997","323","4SF1747p541umnykBp352Q","264773","64","0.699","0.492","-9.449","0.388","117.907"
"MO MONEY MO PROBLEMS","Notorious B.I.G.","1997","736","4INDiWSKvqSKDEu7mh8HFz","257399","75","0.845","0.884","-4.506","0.904","104.536"
"THE FRESHMEN","Verve Pipe","1997","362","21jEuMn2lf37715rwjow2M","269466","67","0.571","0.505","-9.312","0.276","99.562"
"I WANT YOU","Savage Garden","1997","479","3XorCFmcupSm5QS6hA9g4N","232066","59","0.628","0.871","-6.44","0.615","106.101"
"HYPNOTIZE","Notorious B.I.G.","1997","708","7KwZNVEaqikRSBSpyhXK2j","229826","77","0.901","0.697","-3.439","0.67","93.941"
"EVERY TIME I CLOSE MY EYES","Babyface","1997","262","2ezqQeBiC72gwMJoO4w1hA","296266","62","0.655","0.417","-7.702","0.279","143.674"
"SAY YOU'LL BE THERE","Spice Girls","1997","500","1yTQ39my3MoNROlFw3RDNy","235973","66","0.726","0.679","-6.219","0.751","107.02"
"4 SEASONS OF LONELINESS","Boyz II Men","1997","430","027tq4cWr0kRxLTfdxvM1L","292400","46","0.583","0.488","-10.494","0.191","98.497"
"G.H.E.T.T.O.U.T.","Changing Faces","1997","173","13XNjh0UY5LBsICcoHUdxl","264960","44","0.71","0.312","-6.918","0.535","108.262"
"HONEY","Mariah Carey","1997","548","5NaOWLOmVjcA3M5spRATN9","299826","60","0.694","0.823","-6.755","0.683","95.83"
"I BELIEVE IN YOU AND ME","Whitney Houston","1997","216","1kwNHkKXJ4c4MchgATAOBJ","241960","48","0.434","0.268","-11.52","0.121","119.804"
"2 BECOME 1","Spice Girls","1997","391","36AWdhZIGLUTkWpJDhe7va","241026","67","0.646","0.665","-7.878","0.7","143.966"
"ALL FOR YOU","Sister Hazel","1997","299","2skmOCFU64Bg7Ytkgwliwe","218706","66","0.631","0.756","-6.378","0.671","137.039"
"CUPID","112","1997","202","3kVIFDE3G89I2RPVkiRaRj","252266","63","0.685","0.38","-11.219","0.87","175.562"
"SUNNY CAME HOME","Shawn Colvin","1997","194","4mOxpj82q6n3EO7HBZCelX","264200","62","0.554","0.58","-8.05","0.402","167.83"
"IT'S YOUR LOVE","Tim McGraw","1997","262","7nEdCj0MFbGWOxwjlpPesa","227333","58","0.474","0.528","-8.588","0.364","144.366"
"I'M STILL IN LOVE WITH YOU","New Edition","1997","397","46LEQkbfPT5x2ZanS3STg5","279666","52","0.737","0.521","-4.761","0.416","134.286"
"INVISIBLE MAN","98 Degrees","1997","219","5EOGZmuU56m3fFhqr4HCLe","283266","37","0.693","0.549","-10.442","0.554","89.911"
"NOT TONIGHT","Lil' Kim","1997","535","5RI41w5nodYVCaHYZTJnTR","265920","0","0.865","0.652","-7.584","0.764","91.039"
"LOOK INTO MY EYES","Bone Thugs-N-Harmony","1997","910","4ISp82TYvp9G3HTA2dPzQu","259800","45","0.775","0.598","-5.898","0.597","144.043"
"GET IT TOGETHER","702","1997","229","4eDCsyIHTSu3cQZ5wDIyP7","291400","47","0.787","0.188","-11.456","0.271","114.048"
"ALL BY MYSELF","Celine Dion","1997","151","20EpQjfV7B4ZQJkIdHO1Tw","312306","65","0.344","0.325","-10.005","0.0773","118.556"
"IT'S ALL COMING BACK TO ME NOW","Celine Dion","1997","638","2JRicL2f8tJl9TiQlH7vbJ","456866","67","0.384","0.438","-9.149","0.286","87.624"
"MY LOVE IS THE SHHH","Somethin' For The People","1997","400","3TS25nchaYIPb2Y2fw6cbb","281746","42","0.779","0.715","-5.886","0.621","126.036"
"I FINALLY FOUND SOMEONE","Barbra Streisand","1997","257","2WthqeuPLwn0CHwCMrlt6L","221973","54","0.562","0.224","-15.069","0.0707","139.009"
"I'LL BE","Foxy Brown","1997","439","6Ag4SYLUGFdnJrCwUIb4mT","178600","55","0.873","0.597","-9.161","0.474","105.933"
"IF IT MAKES YOU HAPPY","Sheryl Crow","1997","234","5XrfFo0JFOnWD9ZMNXGkQh","323400","61","0.546","0.693","-6.807","0.398","95.448"
"WHEN YOU LOVE A WOMAN","Journey","1997","211","2Ie2PTlhSYqE7WG5l6QzrB","246986","53","0.513","0.514","-5.819","0.216","132.157"
"EVERYDAY IS A WINDING ROAD","Sheryl Crow","1997","256","0t6DAi9KEiaWOtgTTXGhD2","256000","52","0.633","0.675","-8.163","0.746","112.955"
"COLD ROCK A PARTY","Mc Lyte","1997","568","1iVdwLsbPsKnqUoZOWlEqv","247306","51","0.896","0.744","-5.239","0.744","92.91"
"PONY","Ginuwine","1997","282","6mz1fBdKATx6qP4oP1I65G","251733","74","0.749","0.605","-9.359","0.966","142.024"
"BUILDING A MYSTERY","Sarah McLachlan","1997","257","3ozomn4PrGEKEuusxX2HpC","247306","52","0.505","0.518","-8.601","0.472","81.019"
"YOUR WOMAN","White Town","1997","279","4ACxa9buEUnOdYEoPcnMpi","259893","61","0.815","0.605","-9.118","0.795","102.643"
"C U WHEN U GET THERE","Coolio","1997","771","4gf05qWuOT4JmtVGBlIXRO","311040","51","0.76","0.585","-7.307","0.455","91.179"
"CHANGE THE WORLD","Eric Clapton","1997","194","6BQNJ0JFKh8sWjQLI6Zudi","234866","66","0.721","0.558","-8.8","0.542","96.887"
"TUBTHUMPING","Chumbawamba","1997","1038","5YScXJKtefsgdskIy60N7A","278960","63","0.606","0.864","-7.504","0.579","103.834"
"GOTHAM CITY","R. Kelly","1997","124","1OCFE38LYUf22diBKJ8Z4W","285680","33","0.725","0.634","-5.519","0.452","135.793"
"WHAT ABOUT US","Total","1997","504","6Ph7bndA7A5ExoHIZPX4TJ","243782","31","0.736","0.721","-6.188","0.72","96.365"
"WHAT'S ON TONIGHT","Montell Jordan","1997","199","1q3C05jegoKRuU1biZtVxv","276653","42","0.826","0.451","-11.503","0.449","111.859"
"SECRET GARDEN","Bruce Springsteen","1997","164","68uuz61IqrSJjO6ffO3yHc","266613","58","0.525","0.285","-16.56","0.131","86.83"
"THE ONE I GAVE MY HEART TO","Aaliyah","1997","399","5Hr3o3xLPcMfruYm8Fd5EN","270893","39","0.698","0.48","-7.932","0.345","125.343"
"NO TIME","Lil' Kim","1997","516","5Pe9H08rkbraYpP3dllcfe","300666","42","0.627","0.814","-5.863","0.799","90.42"
"NAKED EYE","Luscious Jackson","1997","398","6YtkOhiHmf46w1noltVnF2","280693","47","0.737","0.657","-10.962","0.76","131.022"
"I SHOT THE SHERIFF","Warren G","1997","319","5uC1sC1OmVKfU0m5opiY25","250240","29","0.868","0.678","-9.207","0.762","91.456"
"YOU SHOULD BE MINE","Brian McKnight","1997","514","7HP2lzaK7F55mj7J79bjf4","287440","32","0.784","0.526","-7.763","0.606","94.775"
"DON'T CRY FOR ME ARGENTINA","Madonna","1997","247","0bLRXQaWzmSXRXPmP6JnEF","331466","53","0.217","0.146","-13.9","0.0847","75.922"
"SOMEONE","SWV","1997","464","68scrpEYQeO5B0OqAr2w9h","246266","36","0.673","0.601","-9.275","0.811","173.956"
"GO THE DISTANCE","Michael Bolton","1997","243","3hS5RCp5EE1wUiiE7f8dM1","280640","58","0.363","0.435","-8.141","0.148","125.892"
"COCO JAMBOO","Mr. President","1997","363","5fRvePkRGdpn2nKacG7I6d","218733","70","0.832","0.838","-5.414","0.965","100.021"
"TWISTED","Keith Sweat","1997","553","69QIVIjPMnI1ABLBqh9P1b","260666","64","0.615","0.514","-9.759","0.822","175.849"
"YOU MUST LOVE ME","Madonna","1997","141","78JPL7uIfs6Imm57r1QETk","170840","43","0.357","0.161","-14.789","0.267","88.746"
"LET IT GO","Ray J","1997","289","6igXETl1zKir06CA7NWYo2","293240","24","0.853","0.515","-5.081","0.859","93.026"
"ONE SWEET DAY","Mariah Carey","1996","263","7ySbfLwdCwl1EM0zNCJZ38","281066","68","0.569","0.495","-8.964","0.302","128.228"
"BECAUSE YOU LOVED ME","Celine Dion","1996","443","1NOeZ7ZIVKMebuza26rofd","273666","74","0.614","0.466","-9.881","0.178","119.916"
"ALWAYS BE MY BABY","Mariah Carey","1996","468","2aBxt229cbLDOvtL7Xbb9x","258133","71","0.649","0.531","-8.335","0.488","78.946"
"GIVE ME ONE REASON","Tracy Chapman","1996","311","4vDBJeeQCbhP9FaPPMsYkY","268333","71","0.608","0.419","-10.016","0.602","100.22"
"THA CROSSROADS","Bone Thugs-N-Harmony","1996","727","5KSJ9k1FYjFLnIRlJT2wF8","223546","68","0.679","0.509","-7.31","0.534","144.29"
"TWISTED","Keith Sweat","1996","553","69QIVIjPMnI1ABLBqh9P1b","260666","64","0.615","0.514","-9.759","0.822","175.849"
"MISSING","Everything But The Girl","1996","214","79WrmdVsLbwRTUCiH7cPsa","247200","61","0.677","0.484","-10.506","0.697","123.534"
"IRONIC","Alanis Morissette","1996","304","4oGTdOClZUxcM2H3UmXlwL","225933","59","0.295","0.593","-7.572","0.37","85.482"
"EXHALE","Whitney Houston","1996","203","40Jt7Gswodpx1WNddCpBDQ","201573","52","0.656","0.429","-7.903","0.091","137.952"
"SITTIN' UP IN MY ROOM","Brandy","1996","229","4330XmgVWlx98Y3Naswycg","292066","51","0.796","0.515","-8.083","0.9","93.278"
"IT'S ALL COMING BACK TO ME NOW","Celine Dion","1996","638","2JRicL2f8tJl9TiQlH7vbJ","456866","67","0.384","0.438","-9.149","0.286","87.624"
"CHANGE THE WORLD","Eric Clapton","1996","194","6BQNJ0JFKh8sWjQLI6Zudi","234866","66","0.721","0.558","-8.8","0.542","96.887"
"HEY LOVER","LL Cool J","1996","589","5wG7d4cNogw0ETKaICPEYA","284693","61","0.707","0.438","-12.195","0.53","88.119"
"LOUNGIN","LL Cool J","1996","564","0UN5OvKlbg06LnZyVk48ll","229373","52","0.819","0.579","-9.813","0.53","99.945"
"INSENSITIVE","Jann Arden","1996","250","2OqkSQe1kA8oRgEbw064dS","257839","40","0.508","0.452","-10.436","0.31","178.695"
"NAME","Goo Goo Dolls","1996","213","1G8jae4jD8mwkXdodqHsBM","270000","67","0.464","0.701","-5.943","0.407","73.97"
"I CAN'T SLEEP BABY","R. Kelly","1996","307","6JR2utS6oY0U6OVDmIHiqV","330720","40","0.701","0.515","-7.899","0.232","120.202"
"ONE OF US","Joan Osborne","1996","296","1xNmF1Uep5OGutizZSbKvd","321400","66","0.474","0.502","-7.988","0.369","87.612"
"WONDER","Natalie Merchant","1996","240","5Hz6aGrZZizNBoJ6kE6Rqi","266007","51","0.719","0.739","-5.577","0.603","115.142"
"NOT GON' CRY","Mary J. Blige","1996","325","78wi1g772j8eJPEnD8rr9z","298173","47","0.764","0.41","-8.988","0.43","110.158"
"GANGSTA'S PARADISE","Coolio","1996","489","7lQWRAjyhTpCWFC0jmclT4","240693","80","0.647","0.514","-10.05","0.387","79.974"
"ONLY YOU","112","1996","691","6zOg9gP62RJSsKFeOBAgvH","289413","60","0.764","0.525","-5.969","0.787","95.813"
"DOWN LOW","R. Kelly","1996","229","6zA2SEJJoiNByVMlQ4vgtH","288506","47","0.603","0.417","-9.408","0.172","107.72"
"YOU'RE THE ONE","SWV","1996","265","67ZorjDM25q7bETfLbHdfS","282600","46","0.79","0.608","-7.151","0.958","94.166"
"BREAKFAST AT TIFFANY'S","Deep Blue Something","1996","306","1uzWOoJdADfstQuFtQFTUn","257373","67","0.628","0.829","-5.484","0.503","110.377"
"THE WORLD I KNOW","Collective Soul","1996","206","794pcMq18sBEsmwjRq0aOI","255466","67","0.514","0.704","-4.724","0.386","76.975"
"ANYTHING","3t","1996","482","2AtBXRPCZhtIqSGF5ap33B","321000","46","0.686","0.454","-10.928","0.645","131.977"
"1979","Smashing Pumpkins","1996","222","5QLHGv0DfpeXLNFo7SFEy1","266200","76","0.765","0.788","-9.896","0.964","126.879"
"KISSIN' YOU","Total","1996","239","1e5DTpM1WeggytDXbphivX","282333","58","0.746","0.493","-9.427","0.878","82.04"
"COUNT ON ME","Whitney Houston","1996","371","7mVV7fepIMUAE4FDyihupV","266786","50","0.526","0.507","-6.647","0.14","113.653"
"FANTASY","Mariah Carey","1996","247","6xkryXuiZU360Lngd4sx13","243493","67","0.671","0.727","-7.585","0.801","102.358"
"TIME","Hootie and The Blowfish","1996","340","1N0UflnZhn7xOkrN2l8zxx","296840","55","0.387","0.875","-5.741","0.238","105.1"
"YOU'LL SEE","Madonna","1996","195","0Fb8sdyNluLawg08N1zs48","281066","46","0.601","0.545","-9.972","0.234","89.79"
"HOOK","Blues Traveler","1996","365","0ZhSQIDIv0CWVc0Vt1aiBm","288506","60","0.53","0.831","-4.311","0.774","166.919"
"TONITE'S THA NIGHT","Kris Kross","1996","369","53Bg1jmAmZ2dv1XwKYjDqo","199293","38","0.743","0.523","-5.456","0.789","90.974"
"CLOSER TO FREE","Bodeans","1996","119","0xw22cJECqEQ8RlH0H4sHr","188600","39","0.497","0.943","-4.792","0.702","98.155"
"JUST A GIRL","No Doubt","1996","264","5lWRaa0fBxDE5yU91npPq7","209200","61","0.637","0.904","-4.769","0.77","108.011"
"KEY WEST INTERMEZZO","John Mellencamp","1996","274","4hiP73O5neL2rKZ4tfdxpc","293933","42","0.692","0.842","-6.486","0.962","116.478"
"PONY","Ginuwine","1996","282","6mz1fBdKATx6qP4oP1I65G","251733","74","0.749","0.605","-9.359","0.966","142.024"
"NOBODY","Keith Sweat","1996","323","4SF1747p541umnykBp352Q","264773","64","0.699","0.492","-9.449","0.388","117.907"
"IF IT MAKES YOU HAPPY","Sheryl Crow","1996","234","5XrfFo0JFOnWD9ZMNXGkQh","323400","61","0.546","0.693","-6.807","0.398","95.448"
"AS I LAY ME DOWN","Sophie B. Hawkins","1996","383","6S8ZXzeXsfCj8qi9179McI","248893","52","0.519","0.737","-8.7","0.668","82.999"
"KEEP ON, KEEPIN' ON","Mc Lyte","1996","543","42aZFX1bcCDj75ue0KoNSd","271440","44","0.875","0.63","-6.015","0.733","91.043"
"JEALOUSY","Natalie Merchant","1996","112","3qcVyKUKAOfBoQJsxHfhmW","161533","41","0.723","0.521","-9.78","0.61","101.127"
"I WANT TO COME OVER","Melissa Etheridge","1996","250","7tOEXhPdFosbBcQrAISAfl","324666","44","0.548","0.496","-9.843","0.541","113.631"
"YOU REMIND ME OF SOMETHING","R. Kelly","1996","454","01rYWOpu72uFQORnWN84C3","249920","45","0.631","0.536","-7.194","0.829","59.999"
"RUNAWAY","Janet Jackson","1996","303","6A7Pxv4QjHRuzmuf4Skam9","216920","18","0.652","0.587","-7.886","0.748","109.031"
"HIT ME OFF","New Edition","1996","410","0yNCFwihschpOwSgK31f2O","261399","44","0.716","0.704","-4.652","0.907","88.986"
"NO ONE ELSE","Total","1996","356","2IOQOWr4P14saZqZlM7k84","260466","43","0.782","0.515","-8.215","0.791","182.19"
"GET MONEY","Junior M.A.F.I.A.","1996","692","53oWwSxPuyH2cjYKXH8fgO","274937","60","0.727","0.83","-5.835","0.894","91.174"
"THAT GIRL","Maxi Priest","1996","374","24s6yppvGO5he6wRwCaGrr","240946","46","0.667","0.698","-7.35","0.662","138.654"
"UNTIL IT SLEEPS","Metallica","1996","276","63aVbch5VRXtQnCITdeDTZ","269573","53","0.562","0.919","-4.458","0.728","113.357"
"BEAUTIFUL LIFE","Ace Of Base","1996","274","74jTexO94dFGyXGyeu8krd","221186","61","0.749","0.988","-5.266","0.749","135.015"
"BACK FOR GOOD","Take That","1996","363","4CPTAJth9JiuKYaMIemmDD","242266","49","0.6","0.504","-9.761","0.547","78.961"
"SOON AS I GET HOME","Faith Evans","1996","322","6SkGfPa77E4giShVbk9N6R","324280","55","0.652","0.498","-6.201","0.321","120.144"
"ONLY WANNA BE WITH YOU","Hootie and The Blowfish","1996","295","1OFKUn2VLafrHj7ybnap0Q","229586","69","0.49","0.873","-5.861","0.513","103.272"
"GANGSTA'S PARADISE","Coolio","1995","489","7lQWRAjyhTpCWFC0jmclT4","240693","80","0.647","0.514","-10.05","0.387","79.974"
"ON BENDED KNEE","Boyz II Men","1995","434","7MYmo0JJJDmu4MZTSAF9y3","329800","58","0.626","0.532","-8.097","0.197","116.621"
"FANTASY","Mariah Carey","1995","247","6xkryXuiZU360Lngd4sx13","243493","67","0.671","0.727","-7.585","0.801","102.358"
"TAKE A BOW","Madonna","1995","367","7izFzcBTx3DVXFeFYDeZKB","320466","53","0.549","0.408","-7.698","0.319","80.133"
"THIS IS HOW WE DO IT","Montell Jordan","1995","643","6uQKuonTU8VKBz5SHZuQXD","238800","67","0.799","0.63","-9.279","0.772","103.647"
"WATER RUNS DRY","Boyz II Men","1995","216","7yhmvQh1JOzbNiNFQo4Tfc","201400","52","0.573","0.377","-12.9","0.565","89.599"
"FREAK LIKE ME","Adina Howard","1995","330","6Vas6h9lB5mmeVDXdFqlQA","253613","57","0.655","0.837","-6.04","0.66","91.014"
"HAVE YOU EVER REALLY LOVED A WOMAN?","Bryan Adams","1995","326","32Gf5A7Hr8RdgggXG0Fdks","291666","63","0.568","0.463","-10.009","0.354","145.534"
"ALWAYS","Bon Jovi","1995","369","2RChe0r2cMoyOvuKobZy44","353026","74","0.383","0.659","-5.558","0.327","140.795"
"YOU GOTTA BE","Des'ree","1995","455","6CU0zWIWVTEnmWpSjVHM93","245200","63","0.627","0.669","-9.985","0.498","94.029"
"YOU ARE NOT ALONE","Michael Jackson","1995","343","3AoeaZs8dFemFJr3JdzOL0","345600","66","0.651","0.402","-9.303","0.256","119.878"
"HOLD MY HAND","Hootie and The Blowfish","1995","355","4WnYuVFXe6Si4fZqkxbnvS","258333","60","0.22","0.769","-5.125","0.495","170.773"
"HERE COMES THE HOTSTEPPER","Ini Kamoze","1995","451","3QRM0qZB7oMYavveH0iEqx","250466","67","0.889","0.454","-8.598","0.436","100.36"
"CANDY RAIN","Soul For Real","1995","151","4j1Bk0BEIGCF9hR7cSwl9d","276066","60","0.576","0.711","-7.727","0.6","188.242"
"LET HER CRY","Hootie and The Blowfish","1995","386","6NGi23FFKq9tH5NR1NcTw2","318533","62","0.352","0.698","-6.278","0.256","142.57"
"I BELIEVE","Blessid Union Of Souls","1995","258","7qnNnQTGxdzI2wZWpa0vDD","267493","45","0.491","0.458","-8.159","0.238","141.724"
"RUNAWAY","Janet Jackson","1995","303","6A7Pxv4QjHRuzmuf4Skam9","216920","18","0.652","0.587","-7.886","0.748","109.031"
"STRONG ENOUGH","Sheryl Crow","1995","173","25IRjWUZ60n7KXxcB4DiX9","189826","58","0.587","0.274","-15.227","0.629","154.602"
"SOMEONE TO LOVE","Jon B.","1995","304","4mKbb9uvBMlVvOUv8fdBt8","272360","46","0.665","0.452","-8.486","0.304","136.12"
"ONLY WANNA BE WITH YOU","Hootie and The Blowfish","1995","295","1OFKUn2VLafrHj7ybnap0Q","229586","69","0.49","0.873","-5.861","0.513","103.272"
"IF YOU LOVE ME","Brownstone","1995","408","0BTGqPIW9acmhhUmENkq5r","304160","64","0.687","0.583","-10.224","0.21","95.137"
"I GOT 5 ON IT","Luniz","1995","738","4IYKjN1DrYzxKXt0umJqsG","253533","73","0.6","0.706","-7.899","0.58","173.926"
"BABY","Brandy","1995","161","17aVK3oQdgwVG2l0HpP67W","313293","46","0.807","0.651","-6.714","0.829","91.028"
"AS I LAY ME DOWN","Sophie B. Hawkins","1995","383","6S8ZXzeXsfCj8qi9179McI","248893","52","0.519","0.737","-8.7","0.668","82.999"
"DECEMBER","Collective Soul","1995","243","4wx38D1Y9vv9WG3T0J6lTA","249973","58","0.687","0.499","-7.614","0.338","121.981"
"SHY GUY","Diana King","1995","481","3ldG6XCLDXxWg1N6XhrSKo","258560","58","0.714","0.825","-5.447","0.751","94.074"
"I'M THE ONLY ONE","Melissa Etheridge","1995","356","4veE1jrMbVSy9FRCiYDGkD","295000","59","0.613","0.476","-9.648","0.644","84.938"
"EVERY LITTLE THING I DO","Soul For Real","1995","129","5u3rsmRYRSKJpFHXPT4p07","260066","52","0.712","0.399","-9.297","0.253","99.06"
"I WANNA BE DOWN","Brandy","1995","218","6N9uyMZf9pbNOuomveWscp","291666","62","0.703","0.469","-6.515","0.661","86.038"
"I'LL MAKE LOVE TO YOU","Boyz II Men","1995","324","61sQYdFNS6sEBYCyr1q5gn","236773","63","0.557","0.509","-7.928","0.244","142.408"
"KEEP THEIR HEADS RINGIN'","Dr. Dre","1995","698","7jIujRjK5JKNrMCcAvYUTN","305573","62","0.672","0.785","-4.214","0.219","90.574"
"ROLL TO ME","Del Amitri","1995","195","7LF0YY1gON8rBECsyEs0Wb","132306","58","0.566","0.804","-5.783","0.858","149.989"
"FREEK'N YOU","Jodeci","1995","438","43sNw9nvGYGLYnNiwI8oMZ","379228","62","0.709","0.521","-9.497","0.449","134.165"
"I WISH","Skee-lo","1995","926","3LklW07tvdx2AHsgfi1Mng","249293","61","0.669","0.809","-7.146","0.572","97.885"
"BELIEVE","Elton John","1995","152","0hACDgEDhKuQlv2ZhVbAIt","294800","37","0.491","0.547","-9.264","0.174","137.948"
"CARNIVAL","Natalie Merchant","1995","221","4QXhRjZacZ1gZUeL7Ukktw","361106","50","0.601","0.48","-11.41","0.802","188.214"
"YOU DON'T KNOW HOW IT FEELS","Tom Petty","1995","215","7MooGz4ZPE4bNxjFegR6Jx","289440","65","0.765","0.502","-7.393","0.836","144.204"
"BACK FOR GOOD","Take That","1995","363","4CPTAJth9JiuKYaMIemmDD","242266","49","0.6","0.504","-9.761","0.547","78.961"
"TOOTSEE ROLL","69 Boyz","1995","677","0SAIjVOwxVnO1l9HGvLuOU","261360","52","0.869","0.725","-12.507","0.699","132.989"
"CAN'T YOU SEE","Total","1995","394","174UISK3l7VRbigEHxEev7","281880","62","0.744","0.574","-9.445","0.805","86.278"
"ALL I WANNA DO","Sheryl Crow","1995","460","3ZpQiJ78LKINrW9SQTgbXd","272106","65","0.836","0.533","-11.263","0.957","120.08"
"THIS AIN'T A LOVE SONG","Bon Jovi","1995","366","0ZLBD6hHGN9LYOtNlu2n8e","306240","58","0.348","0.635","-6.836","0.144","87.974"
"SECRET","Madonna","1995","296","15FcP9qwmIKqaD5NhfhNpu","304933","52","0.813","0.655","-7.884","0.46","99.982"
"PLAYER'S ANTHEM","Junior M.A.F.I.A.","1995","514","5Zoswf6SbX8vm7Pam8eqlb","308720","61","0.834","0.526","-8.632","0.667","88.275"
"FEEL ME FLOW","Naughty By Nature","1995","464","6Kp8tQd95YPSrSUTkll2Of","212560","65","0.805","0.754","-6.679","0.844","90.214"
"EVERY DAY OF THE WEEK","Jade","1995","570","7gRPARHLsDZaf3QxSTuKT8","315600","31","0.757","0.68","-8.857","0.83","97.381"
"BROKENHEARTED","Brandy","1995","226","6AzzMupvtP4u4B8d5OWVUi","286493","45","0.329","0.517","-7.178","0.408","149.758"
"NO MORE ""I LOVE YOU'S""","Annie Lennox","1995","235","2Pn5gvVioma5LHPxgEBBmD","291333","61","0.372","0.57","-7.305","0.234","179.907"
"YOU USED TO LOVE ME","Faith Evans","1995","251","0KhXVmAN4sqeEgsqRd39f2","269173","57","0.702","0.458","-8.195","0.678","89.271"
"HOLD ME, THRILL ME, KISS ME, KILL ME","U2","1995","190","5TsHqbDKaSs4ECZX0045YS","284600","49","0.368","0.852","-6.978","0.347","171.692"
"GOOD","Better Than Ezra","1995","197","0ttHpMs250dpFkCYAnuhnE","185093","63","0.615","0.657","-6.873","0.792","109.95"
"TURN THE BEAT AROUND","Gloria Estefan","1995","328","5EExhZiAXIqw6M5FFGAiUb","233200","41","0.735","0.804","-6.476","0.539","130.018"
"1ST OF THA MONTH","Bone Thugs-N-Harmony","1995","1619","1dF5Y2dd7Wm4wZKvVjWBpr","314680","65","0.729","0.581","-8.235","0.508","74.038"
"I LIVE MY LIFE FOR YOU","Firehouse","1995","215","4vHp893kV7HksfB5FN1Nk5","261826","52","0.519","0.517","-7.531","0.344","141.808"
"COTTON EYE JOE","Rednex","1995","475","0Jg602cHeMCnPez9baacIe","193826","59","0.738","0.937","-7.788","0.614","131.994"
"THANK YOU","Boyz II Men","1995","178","2ESAoDR0NAUMzm81TEBuJE","275200","36","0.681","0.704","-9.002","0.924","95.127"
"I'LL STAND BY YOU","Pretenders","1995","269","3Nf8oGn1okobzjDcFCvT6n","240760","69","0.438","0.606","-6.549","0.266","133.822"
"BEST FRIEND","Brandy","1995","362","0YwUJOHKYxlm5gVfIkl8Ym","288840","45","0.696","0.49","-6.631","0.557","179.825"
"MISERY","Soul Asylum","1995","144","1uGht4m9AVY641N2DzoPpi","264360","40","0.38","0.643","-8.304","0.297","113.674"
"CAN'T STOP LOVIN' YOU","Van Halen","1995","269","6z3JD6IqVvu6TUBtCfQPbe","247466","52","0.609","0.912","-3.324","0.564","118.035"
"THE SIGN","Ace Of Base","1994","279","0hrBpAOgrt8RXigk83LLNE","191240","68","0.808","0.786","-6.897","0.899","96.987"
"I'LL MAKE LOVE TO YOU","Boyz II Men","1994","324","61sQYdFNS6sEBYCyr1q5gn","236773","63","0.557","0.509","-7.928","0.244","142.408"
"THE POWER OF LOVE","Celine Dion","1994","257","5kK1Iru9ogP3Iy1zsANU1n","342400","67","0.546","0.519","-9.072","0.247","140.054"
"HERO","Mariah Carey","1994","263","4FCb4CUbFCMNRkI6lYc1zI","257733","71","0.501","0.378","-9.37","0.178","119.987"
"STAY","Lisa Loeb","1994","283","7Lwo27zrXusqUlAaTgnytp","183716","64","0.682","0.596","-6.941","0.393","80.344"
"BREATHE AGAIN","Toni Braxton","1994","281","1xFliXOpcu7E89AsDAZ7JV","269173","54","0.689","0.677","-6.36","0.259","153.919"
"ALL THAT SHE WANTS","Ace Of Base","1994","244","6kWJvPfC4DgUpRsXKNa9z9","211213","71","0.798","0.625","-9.689","0.858","93.764"
"DON'T TURN AROUND","Ace Of Base","1994","326","4SYMibQ93bfzOk6uzkF0dO","230186","54","0.745","0.771","-8.231","0.752","95.623"
"BUMP N' GRIND","R. Kelly","1994","336","0DBIL8arX0Zo6eAuxNIpik","256133","65","0.621","0.481","-8.016","0.679","65.004"
"I'LL REMEMBER","Madonna","1994","32","00U0pedRUMEzREpyRqbVT6","263813","49","0.691","0.601","-9.698","0.85","167.796"
"WHATTA MAN","Salt-N-Pepa","1994","711","7sJN693sYKEIEMu7fc5VnJ","308360","58","0.757","0.544","-10.722","0.921","173.208"
"WILD NIGHT","John Mellencamp","1994","223","4oGhmx44KuEslzELC1Qogw","207760","43","0.674","0.885","-4.456","0.945","144.332"
