"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"MARVIN GAYE","Charlie Puth","2015","322","6ukMqDxnOPOgoHdak7Kyp3","190453","73","0.795","0.616","-5.281","0.815","110.015"
"LIKE I'M GONNA LOSE YOU","Meghan Trainor","2015","315","2YlZnw2ikdb837oKMKjBkW","225053","79","0.63","0.53","-7.259","0.417","108.038"
"HABITS","Tove Lo","2015","337","14OxJlLdcHNpgsm4DRwDOB","209160","67","0.733","0.65","-3.539","0.348","110.003"
"THE HANGING TREE","James Newton Howard","2015","273","416MsJxvxSKY96DCmbJIRs","218506","64","0.255","0.085","-17.969","0.109","94.26"
"LAY ME DOWN","Sam Smith","2015","213","64GRDrL1efgXclrhVCeuA0","219535","77","0.468","0.19","-11.138","0.326","125.319"
"KICK THE DUST UP","Luke Bryan","2015","338","5g15o2Sm55Hn9ShK5yEXgp","190586","66","0.596","0.855","-2.255","0.811","172.082"
"BLESSINGS","Big Sean","2015","882","1bzM1cd6oqFozdr4wK6HdR","252040","67","0.789","0.621","-7.685","0.158","118.891"
"BUDAPEST","George Ezra","2015","272","7q0aQpiLv5tIsupcgQ3Ny4","200733","70","0.717","0.455","-8.303","0.389","127.81"
"CHANDELIER","Sia","2015","378","2s1sdSqGcKxpPr5lCl7jAV","216120","72","0.399","0.787","-2.88","0.572","117.089"
"HEARTBEAT SONG","Kelly Clarkson","2015","433","7FC9Lng8iXU081lbigu8m8","198733","66","0.49","0.798","-3.66","0.479","149.109"
"DON'T","Ed Sheeran","2015","594","1huvTbEYtgltjQRXzrNKGi","219840","75","0.806","0.608","-7.008","0.849","95.049"
"GHOST","Ella Henderson","2015","435","2FiceoWDJ67rrmb5tGBpgE","216106","65","0.682","0.836","-3.777","0.485","104.987"
"HERE","Alessia Cara","2015","469","1wYZZtamWTQAoj8B812uKQ","199453","67","0.376","0.821","-3.974","0.331","120.462"
"WAVES","Mr. Probz","2015","126","5Sf3GyLEAzJXxZ5mbCPXTu","208133","75","0.829","0.51","-9.334","0.45","119.993"
"SHE KNOWS","Ne-Yo","2015","193","7seTcUFOhn5caSDbiSfsp0","214725","60","0.706","0.572","-5.799","0.574","139.982"
"NIGHT CHANGES","One Direction","2015","296","5O2P9iiztwhomNh8xkR9lJ","226600","75","0.672","0.52","-7.747","0.37","120.001"
"HOW DEEP IS YOUR LOVE","Calvin Harris","2015","340","22mek4IiqubGD9ctzxc69s","212640","78","0.738","0.868","-4.373","0.336","122.003"
"HAPPY","Pharrell Williams","2014","493","6NPVjNh8Jhru9xOmyQigds","233305","75","0.652","0.757","-6.819","0.962","159.911"
"DARK HORSE","Katy Perry","2014","481","5jrdCoLpJSvHHorevXBATy","215672","77","0.645","0.585","-6.122","0.353","131.931"
"ALL OF ME","John Legend","2014","333","3U4isOIWM3VvDubwSI3y7a","269560","85","0.422","0.264","-7.064","0.331","119.93"
"FANCY","Iggy Azalea","2014","490","3oiMJQAWVaxSubJ7b2VUtX","199938","68","0.912","0.716","-4.141","0.377","94.981"
"COUNTING STARS","OneRepublic","2014","517","6sy3LkhNFjJWlaeSMNwQ62","257839","74","0.664","0.705","-4.972","0.477","122.017"
"ALL ABOUT THAT BASS","Meghan Trainor","2014","440","0ifSeVGUr7py5GggttDhXw","188754","68","0.811","0.879","-3.724","0.962","134.064"
"PROBLEM","Ariana Grande","2014","505","7vS3Y0IKjde7Xg85LWIEdP","193920","77","0.66","0.805","-5.352","0.625","103.009"
"STAY WITH ME","Sam Smith","2014","164","5Nm9ERjJZ5oyfXZTECKmRt","172723","84","0.418","0.42","-6.444","0.184","84.094"
"TIMBER","Pitbull","2014","399","3cHyrEgdyYRjgJKSOiOtcS","204160","75","0.581","0.963","-4.087","0.788","129.992"
"SHAKE IT OFF","Taylor Swift","2014","564","5xTtaWoae3wi06K5WfVUUH","219200","68","0.648","0.785","-5.414","0.943","160.02"
"AM I WRONG","Nico and Vinz","2014","406","1fidCEsYlaVE3pHwKCvpFZ","247520","72","0.725","0.68","-5.465","0.76","119.939"
"TURN DOWN FOR WHAT","DJ Snake","2014","108","67awxiNHNyjMXhVgsHuIrs","213733","72","0.818","0.799","-4.1","0.0815","100.014"
"THE MONSTER","Eminem","2014","644","48RrDBpOSSl1aLVCalGl5C","250188","76","0.781","0.853","-3.68","0.624","110.049"
"TEAM","Lorde","2014","367","3G6hD9B2ZHOsgf4WfNu7X1","193058","72","0.696","0.59","-7.428","0.462","99.984"
"LET HER GO","Passenger","2014","398","6GmUVqe73u5YRfUUynZK6I","252733","72","0.479","0.545","-7.346","0.244","74.897"
"ROYALS","Lorde","2014","375","2dLLR6qlu5UJ5gk0dKz0h3","190185","77","0.616","0.432","-9.546","0.302","84.778"
"WAKE ME UP","Avicii","2014","249","4h8VwCb1MTGoLKueQ1WgbD","247426","84","0.518","0.784","-5.659","0.588","124.102"
"DEMONS","Imagine Dragons","2014","313","3LlAyCYU26dvFZBDUIMb7a","175200","74","0.505","0.71","-3.015","0.428","89.938"
"STORY OF MY LIFE","One Direction","2014","364","4nVBt6MZDDP6tRVdQTgxJg","245493","79","0.6","0.663","-5.802","0.286","121.07"
"CHANDELIER","Sia","2014","378","2s1sdSqGcKxpPr5lCl7jAV","216120","72","0.399","0.787","-2.88","0.572","117.089"
"BLACK WIDOW","Iggy Azalea","2014","525","7pNC5ZIKtwUK0ReSpM3P9f","209423","65","0.741","0.726","-3.77","0.527","163.991"
"BANG BANG","Jessie J, Ariana Grande & Nicki Minaj","2014","658","1z3Q0Vv26kdsSc8KshjNWX","224680","38","0.693","0.866","-4.448","0.19","149.946"
"LATCH","Disclosure","2014","325","1BltsyC5W3SAABdxyrDXwi","255631","75","0.503","0.727","-5.456","0.521","121.985"
"MAPS","Maroon 5","2014","433","4gbVRS8gloEluzf0GzDOFc","189960","77","0.742","0.713","-5.522","0.879","120.032"
"BEST DAY OF MY LIFE","American Authors","2014","236","5Hroj5K7vLpIG4FNCRIjbP","194240","77","0.673","0.902","-2.378","0.521","100.016"
"HABITS","Tove Lo","2014","337","14OxJlLdcHNpgsm4DRwDOB","209160","67","0.733","0.65","-3.539","0.348","110.003"
"SUMMER","Calvin Harris","2014","106","6YUTL4dYpB9xZO5qExPf05","222533","78","0.596","0.856","-3.556","0.743","127.949"
"BOOM CLAP","Charli XCX","2014","390","0Y1MWB026LYxGvhq4EcMiC","169866","58","0.659","0.911","-2.28","0.576","91.999"
"DRUNK IN LOVE","Beyonce","2014","585","6jG2YzhxptolDzLHTGLt7S","323480","74","0.589","0.621","-6.902","0.401","140.03"
"ANACONDA","Nicki Minaj","2014","595","794F99D5BQHS5ZGRXAs7I5","260240","64","0.964","0.605","-6.223","0.646","129.994"
